,ParasiteCheckedBinomial,Par.Phylum,Par.Class,a.host.infect.site,b.host.infect.site,length.min.mm,length.max.mm,width.min.um,width.max.um,male.length.min,male.length.max,male.width.min,male.width.max,female.length.min,female.length.max,female.width.min,female.width.max,juv.lenth.min.um,juv.length.max.um,juv.width.min.um,juv.width.max.um,infect.larvae.min.um,infect.larvae.max.um,egg.size.min,egg.size.max,Ref,doi.y,alyssa.notes
75,Camelostrongylus mentulatus,Nematoda,Chromadorea,abomasum,,6.5,10,NA,NA,6.5,7.5,NA,NA,8,10,NA,NA,NA,NA,NA,NA,NA,NA,75,85,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
76,Capillaria aerophila,Nematoda,Enoplea,Trachea,bronchi,15,NA,NA,NA,15,25,60,100,20,40,100,180,NA,NA,NA,NA,NA,NA,58,79,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
77,Capillaria aerophila,Nematoda,Enoplea,Trachea,bronchi,15,40,60,180,15,25,60,100,20,40,100,180,NA,NA,NA,NA,NA,NA,58,79,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
78,Capillaria bilobata,Nematoda,Enoplea,abomasum,,10.1,21.3,50,85,10.1,16.5,50,83,14,21.3,72,85,NA,NA,NA,NA,NA,NA,33,55,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
79,Capillaria boehmi,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
80,Capillaria bovis,Nematoda,Enoplea,small intestine,,11,25,50,116,11,13,50,75,18,25,80,116,NA,NA,NA,NA,NA,NA,45,52,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
81,Capillaria hepatica,Nematoda,Enoplea,liver,,22,104,26,184,22,22,26,78,52,104,78,184,NA,NA,NA,NA,NA,NA,48,66,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
82,Capillaria mucronata,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
83,Capillaria mustelorum,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
84,Capillaria myoxinitelae,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
85,Capillaria plica,Nematoda,Enoplea,Urinary Bladder,Kidney Pelvis,13,60,48,60,13,30,48,48,30,60,65,65,NA,NA,NA,NA,NA,NA,60,68,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
86,Capillaria procyonis,Nematoda,Enoplea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
87,Capillaria putorii,Nematoda,Enoplea,small intestine,stomach,5.4,15,58,88,5.4,8,58,68,9.4,15,68,88,NA,NA,NA,NA,NA,NA,56,72,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
88,Capreocaulus capreoli,Nematoda,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
89,Carmyerius gregarius,Platyhelminthes,Trematoda,stomach,,6,12,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,125,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
90,Centrorhynchus aluconis,Acanthocephala,Palaeacanthocephala,intestine,,6,45,500,1500,6,25,500,600,11,45,800,1500,NA,NA,NA,NA,NA,NA,NA,NA,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1973,NA,
91,Centrorhynchus bazaleticus,Acanthocephala,Palaeacanthocephala,intestine,,6.783,6.78,1024,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1974,NA,
92,Centrorhynchus conspectus,Acanthocephala,Palaeacanthocephala,small intestine,,23,55,1000,1500,23,35,NA,NA,28,55,1000,1500,NA,NA,NA,NA,NA,NA,60,78,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1975,NA,
93,Centrorhynchus elongatus,Acanthocephala,Palaeacanthocephala,intestine,,NA,NA,NA,NA,15,35,750,1100,32,53,800,1600,NA,NA,NA,NA,NA,NA,72,84,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1976,NA,
94,Centrorhynchus elongatus,Acanthocephala,Palaeacanthocephala,intestine,,NA,NA,NA,NA,15,35,750,1100,32,53,800,1600,NA,NA,NA,NA,NA,NA,72,84,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1977,NA,
95,Centrorhynchus teres,Acanthocephala,Palaeacanthocephala,intestine,body cavity,14,17,1200,2200,14,14,2000,2000,17,20,2000,2000,NA,NA,NA,NA,NA,NA,61,65,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1978,NA,
96,Centrorhynchus undulatus,Acanthocephala,Palaeacanthocephala,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
97,Centrorhynchus wardae,Acanthocephala,Palaeacanthocephala,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
98,Ceratospira opthalmica,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
99,Cercopithifilaria crassa,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
100,Cercopithifilaria longa,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
101,Cercopithifilaria shohoi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
102,Chabertia ovina,Nematoda,Chromadorea,large intestine,digestive tract,13,20,330,500,13,14,330,330,17,20,500,500,750,750,NA,NA,250,250,77,100,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R.C. Anderson,NA,
103,Concinnum ten,Platyhelminthes,Trematoda,biliary ducts,bladder,1.32,2.6,0.43,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,60,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
104,Contracaecum margolisi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
105,Contracaecum ogmorhini,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
106,Contracaecum osculatum,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
107,Contracaecum spiculigerum,Nematoda,Chromadorea,proventriculus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,255,NA,NA,318,417,64,64,,NA,synonym with C. rudolphi
108,Cooperia acutispiculum,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
109,Cooperia connochaeti,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
110,Cooperia fuelleborni,Nematoda,Chromadorea,small intestine,,5.6,7.8,NA,NA,5.6,7.3,NA,NA,5.4,7.8,NA,NA,NA,NA,NA,NA,NA,NA,65,72,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
111,Cooperia hungi,Nematoda,Chromadorea,small intestine,,7.6,9.1,NA,NA,10.5,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,68,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
112,Cooperia neitzi,Nematoda,Chromadorea,small intestine,,8.4,12.4,NA,NA,8.4,9.8,NA,NA,10.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,78,90,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
113,Cooperia oncophora,Nematoda,Chromadorea,small intestine,abomasum,4.9,12,NA,NA,4.9,9,NA,NA,6,12,NA,NA,NA,NA,NA,NA,NA,NA,74,75,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
